Periode,Kode Item,Nama Item,Satuan Standar,Aktual,Lag_1,Lag_2,Lag_3,Lag_6,Lag_12,Rolling_Mean_3,Rolling_Max_3,Rolling_Min_3,Rolling_Mean_6,Rolling_Mean_12,Prediksi_SMA,Prediksi_Decision_Tree,Error_SMA,Error_Decision_Tree,Error_Persen_SMA,Error_Persen_Decision_Tree
2025-06,METHYL125,Inj METHYLPREDNISOLON 125MG INJ,BOX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,1.0,4.052818991097923,100.0,405.28189910979233
2025-06,METR500,Metronidazole 500mg Tab,TAB,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.1666666666666666,0.0833333333333333,0.3333333333333333,5.052818991097923,0.3333333333333333,5.052818991097923,,
2025-06,METRDI500,Metronidazole Infus 500mg/100ml,BTL,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,33.333333333333336,16.666666666666668,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,MK04-115,ELECTROSURGICAL PENCIL MK04-115,PCS,300.0,0.0,300.0,0.0,230.0,0.0,100.0,300.0,0.0,188.33333333333331,156.66666666666666,100.0,316.6666666666667,200.0,16.666666666666686,66.66666666666666,5.5555555555555625
2025-06,MK08-503B,STERILE SAFETY LANCET MK08-503B,BOX,2.0,0.0,0.0,75.0,65.0,0.0,25.0,75.0,0.0,30.83333333333333,24.58333333333333,25.0,5.052818991097923,23.0,3.052818991097923,1150.0,152.64094955489617
2025-06,MK08-565,MASKER MULTI ONE PLUS 3PLY EARLOOP,BOX,0.0,0.0,0.0,300.0,35.0,0.0,100.0,300.0,0.0,72.5,56.25,100.0,5.052818991097923,100.0,5.052818991097923,,
2025-06,MK09-135,NASAL OXYGEN CANNULA ADULT,PCS,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,150.0,75.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,MK09-231,LATEX FOLEY CATHETER 2-WAY FR16,PCS,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,200.0,194.94718100890208,100.0,97.47359050445104
2025-06,NM-USGG5L,NAM MEDICAL ULTRASOUND GEL 5,DRIGEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,OME40MGINJ,OMEPRAZOLE SODIUM MONOHYDRATE 40mg SERBUK INJ,VIAL,0.0,0.0,0.0,60.0,0.0,0.0,20.0,60.0,0.0,10.0,5.0,20.0,5.052818991097923,20.0,5.052818991097923,,
2025-06,ONEMED-CATGUT,"Catgut Chromic Uk. 3/0, HR-27, Tapper 75cm 3",PCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.052818991097923,0.0,5.052818991097923,,
2025-06,OTO-L,OTORO LATEX FREE POWDER ''L'',BOX,100.0,150.0,0.0,250.0,150.0,150.0,133.33333333333334,250.0,0.0,108.33333333333331,136.66666666666666,133.33333333333334,124.2,33.33333333333334,24.200000000000003,33.33333333333334,24.200000000000003
2025-06,OTO-M,OTORO LATEX FREE POWDER ''M'',BOX,300.0,400.0,0.0,500.0,520.0,250.0,300.0,500.0,0.0,278.3333333333333,285.0,300.0,285.64285714285717,0.0,14.357142857142833,0.0,4.785714285714278
2025-06,OTR-S,OTORO LATEX FREE POWDER ''S'',BOX,390.0,500.0,0.0,550.0,600.0,300.0,350.0,550.0,0.0,325.0,362.5,350.0,285.64285714285717,40.0,104.35714285714283,10.256410256410255,26.758241758241752
2025-06,OTRP-M,OTORO LATEX POWDER ''M'',BOX,0.0,0.0,30.0,0.0,0.0,0.0,10.0,30.0,0.0,13.333333333333334,6.666666666666667,10.0,5.052818991097923,10.0,5.052818991097923,,
2025-06,OTRP-S,OTORO LATEX POWDER ''S'',BOX,40.0,0.0,40.0,10.0,0.0,0.0,16.666666666666668,40.0,0.0,16.666666666666668,8.333333333333334,16.666666666666668,5.052818991097923,23.333333333333332,34.94718100890208,58.33333333333333,87.3679525222552
2025-06,PCT-INFUS,Paracetamol 1 G/100ml Infus TD,BOX,0.0,600.0,0.0,0.0,0.0,0.0,200.0,600.0,0.0,100.0,50.0,200.0,285.64285714285717,200.0,285.64285714285717,,
