Kode Item,Nama Item,Satuan,Jumlah,Total Item
4330-0021-17,"Yellow Tips,Gilson/Universal type,VOL.200μl,graduated at 10/20/50/100μl,PP BAG material",ZIP-LOCK,19,1045000.0
4330-0021-17,"Yellow Tips,Gilson/Universal type,VOL.200μl,graduated at 10/20/50/100μl,PP material",CARTON,4,4400000.0
4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",CARTON,2,2400000.0
4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",POLYBAG,20,1171700.0
4610-1924,"Centrifuge Tube, PP material, conical bottom, Vol.15ml/17x120mm, BLUE printed graduation from 1.5ml to 15ml/graduation interval 0.5ml. Screw cap leakage-proof, GREY color. DNase-free, RNase-free, Non-Pyrogen, Assembled, E.O. sterile, individual flow-pack, 50pcs/box",BOX,9,687500.0
4610-1924,"Centrifuge Tube, PP material, conical bottom, Vol.15ml/17x120mm, BLUE printed graduation from 1.5ml to 15ml/graduation interval 0.5ml. Screw cap leakage-proof, GREY color. DNase-free, RNase-free, Non-Pyrogen, Assembled, E.O. sterile, individual flow-pack, 50pcs/box",CARTON,19,14300000.0
5,CC SPUIT 5 CC,BOX,55,5290225.22
546,Cefadroxil Monohydrate 125mg/5ml Sirup Kering Bernofarm,BTL,5,52000.0
5600-0001,"SHARP CONTAINER, FOR CLINICAL WASTE, PP MATERIAL, RECTANGULAR SHAPE. LID IN TRANSPARENT COLOR, CONTAINER IN YELLOW COLOR, VOL.1L/ L105XW85XH180MM",CARTON,4,3840000.0
5600-0001,"SHARP CONTAINER, FOR CLINICAL WASTE, PP MATERIAL, RECTANGULAR SHAPE. LID IN TRANSPARENT COLOR, CONTAINER IN YELLOW COLOR, VOL.1L/ L105XW85XH180MM",PCS,50,675676.0
615,Paracetamol 500 mg Kaplet,BOX,5,105378.45999999999
615,Paracetamol 500 mg Kaplet,TAB,106600,62737100.0
635,Ambroxol HCl 15 mg/5 ml Elixir Bernofarm,BTL,54,182481.52
770,Flunarizine 10 mg Tab,BOX,2,415584.0
775,Domperidone Maleate 10 mg TSS,BOX,2,79200.0
775,Domperidone Maleate 10 mg TSS,TAB,28,26320.0
7982101,HEALGEN 1/2 ONE STEP RAPID TEST CASSETTE BOX@25 PCS,BOX,12,2391891.84
7982201,HEALGEN HCV Rapid Test Cassette Box@25 pcs,BOX,2,621621.62
7982501,HEALGEN HBSAG TEST CASSETTE BOX@25 PCS,BOX,12,2213513.4
926,Clindamycin HCl 300 mg Kapsul,BOX,1,130131.0
AATC,ALAT AUTO CHECK,UNIT,12,2646000.0
AB,8M AMBULANCE BOAT FRP 8 METER 2x85 PK,UNIT,1,900900900.9
ABCTH16,Abbocath 16,PCS,100,660000.0
ABNREGAL+,ABN Regal Plus Mobile Clock Aneroid Sphygmomanometer,UNIT,3,14729730.0
AC-S0.5,SHARP AC SHARP 0.5 PK,UNIT,1,3603604.0
AC-S1,SHARP AC SHARP 1 PK,UNIT,2,9909910.0
ACCTO,ADAPTOR TENSIMETER OMRON,PCS,4,600000.0
ACETYL,Acetylcysteine 200 mg IPHA,BOX,2,150800.0
ACETYLM,Acetylcysteine - Mulia,TAB,1000,620000.0
ACT-H,Actifed Hijau,BTL,6,390000.0
ACT-M,Actifed Merah,BTL,6,390000.0
ACYLC,Acyclovir Cream - Berno,TUBE,250,2000000.0
AEROSOL,AEROSOL ANTI NYAMUK,PCS,20,720720.0
AG18T,Agani Needle No.18 - Terumo,BOX,20,1650000.0
AHWC-210,Disposable Single Heated Wire Breathing Circuit Adult AHWC-210,PCS,3,3450000.0
AII,SET AFF DAN INSERSI IUD,SET,1,1801801.8
AKHL,70% 1L ALKOHOL 70% 1 LITER,BTL,41,2578454.9
AKHL,70% 5 ALKOHOL 70% 5 LITER,DRIGEN,7,630630.0
AKHL70%,ALKOHOL 70% 100 ML 100ML,BTL,552,3183120.0
AKRL-3S,Akrilik Leaflet 3 Susun,PCS,1,147000.0
AKURAT,Test ALAT TEST KEHAMILAN AKURAT,BOX,2,990000.0
AKURAT-TEST,ALAT TEST KEHAMILAN AKURAT,BOX,92,36800000.0
ALKGP,AlleMed ECG/EKG PAPER 210mm x 295mm x 100sheets,PCS,4,1450000.0
ALLO100T,ALLOPURINOL 100 MG TAB TRIMAN,TAB,500,212000.0
ALLOTAB,Allopurinol Tablet,BOX,1,28139.0
ALLTR-TM,ALLETROL TM (24),BTL,4,90090.08
ALPARA,Tab Alpara Tab,BOX,1,135000.0
ALPARA,Tab Alpara Tab,TAB,1000,1300000.0
ALR-A0909C,ALARM THERMOMETER DR GRAY A909C,UNIT,1,152657.66
ALTAUNP-60X90,Altamed Underpads 60x90cm,PAK,60,2100000.0
ALTMFP-6.5,SURGICAL GLOVE STERILE FREE POWDER 6.5 ALTAMED,PCS,195,1755000.0
ALTMFP-7,SURGICAL GLOVE STERILE FREE POWDER 7 ALTAMED,PCS,1000,9000000.0
ALTMFP-7.5,SURGICAL GLOVE STERILE FREE POWDER 7.5 ALTAMED,PCS,1000,9000000.0
AMBRX30,Ambroxol HCl 30 mg/5 ml Elixir Bernofarm,BTL,33,163683.69
AMBTAB,Ambroxol Tab Bernofarm,BOX,52,1209949.54
AMBTAB,Ambroxol Tab Bernofarm,TAB,10000,8000000.0
AMBU-A,AMBUBAG ANAK,UNIT,4,5405405.4
AMBU-D,AMBUBAG DEWASA,UNIT,4,5405405.4
AMBX30,Ambroxol 30mg Tab - Trifa,BOX,2,36036.04
AMD,10mg Amlodipine 10mg,BOX,51,2988570.27
AMD,10mg Amlodipine 10mg,TAB,5500,1863350.0
AMD,5mg Amlodipine 5mg,BOX,32,1182880.0
AMD,5mg Amlodipine 5mg,TAB,1500,253575.0
AMIPHL200,Aminophylline 200 mg Tab,TAB,2000,1700000.0
AMIPHL24-INJ,AMINOPHYLINE 24 MG/ML INJEKSI,AMPUL,25,396400.0
AML5T,AMLODIPHINE 5 MG TRIFA,TAB,500,381000.0
AMPCL,- Inj Ampicillin Inj,AMPUL,60,1692000.0
AMPCL,- Inj Ampicillin Inj,BOX,10,1071000.0
AMPCL-INJ,Ampicillin Inj,VIAL,100,957720.0
AMXD,Amoxsan Drop,BTL,6,138000.0
AMXTAB-ETTA,Amoxicillin 500mg Tab Etta,TAB,1100,1567500.0
ANAB60ML,ANABION 60 ML,BTL,50,644500.0
ANTADO,Antasida Doen,BOX,2,42000.0
ANTAST,Antasida Tab - Triman,BOX,32,910245.04
ANTAST,Antasida Tab - Triman,TAB,100,52500.0
ANTASY,Antasida Syrup Mersi,BTL,6,21000.0
ANTI,A ANTI A MONOCHLONAL,BTL,2,360360.36
ANTI,AB ANTI AB MONOCHLONAL,BTL,2,360360.36
ANTI,B ANTI B MONOCHLONAL,BTL,2,360360.36
ANTI,D ANTI D MONOCHLONAL,BTL,2,540540.54
ARI,TIMER RESPIRATORY RATE TIMER,UNIT,1,1081081.08
AS,20L AIR SULING 20 LITER,JERIGEN,21,5396165.0
AS,ALKOHOL SWAB,BOX,490,7014090.6
ASMEF,Tab Asmef Tab,BOX,2,94500.0
ASMEF500ERR,MEFENAMIC ACID ERRITA T,TAB,500,457500.0
ASO,ALKOHOL SWAB ONEMED,BOX,260,2747080.0
ASS,ALKOHOL SWAB SENSI,BOX,120,1621560.0
AST4,Asthin 4 mg,BOX,1,200000.0
