Kode Item,Nama Item,Satuan Standar,Aktual,Prediksi_SMA,Prediksi_Decision_Tree,Error_SMA,Error_Decision_Tree,Error_Persen_SMA,Error_Persen_Decision_Tree
ASWAG60,Ashwagandha+ 60 Kapsul,BTL,49.0,26.0,35.36973293768546,5.952380952380952,5.135311572700297,71.11111111111111,48.21008902077151
LEVXC500-INF,Levofloxacin Infus 500MG/100ML,BTL,120.0,120.0,35.36973293768546,22.857142857142858,17.864688427299704,66.66666666666667,87.36795252225518
IV,24G IV CHATETER NO 24G,PCS,60.0,20.0,35.36973293768546,5.7142857142857135,10.736922424756253,66.66666666666666,69.68308605341247
OTRP-M,OTORO LATEX POWDER ''M'',BOX,60.0,80.0,35.36973293768546,14.285714285714286,10.736922424756255,66.66666666666666,83.1572700296736
LGN-RTA,LUNGENE COVID-19 ANTIGEN RAPID TEST,BOX,20.0,40.0,35.36973293768546,6.666666666666666,6.46629927935566,66.66666666666666,74.73590504451039
NM-USGG5L,NAM MEDICAL ULTRASOUND GEL 5,DRIGEN,21.0,12.0,35.36973293768546,2.238095238095238,3.1654938533276815,60.69444444444444,51.58086053412463
KLP-10X10,Kassa Lipat Polos 10cm x 10cm,PAK,230.0,283.3333333333333,98.92156510937824,20.952380952380956,34.056196456914144,57.22222222222223,112.46836657235527
KLP-5X5,Kassa Lipat Polos 5cm x 5cm (400 pcs),PAK,149.0,97.33333333333333,35.36973293768546,10.047619047619047,16.232895294616366,48.94331065759637,71.84857990674014
METRDI500,Metronidazole Infus 500mg/100ml,BTL,310.0,276.6666666666667,226.0252294527638,42.857142857142854,42.25913621262459,46.111111111111114,60.36118740367585
PCT-INFUS,Paracetamol 1 G/100ml Infus TD,BOX,560.0,1160.0,1210.0098511062697,107.6190476190476,154.9143641115269,41.85185185185184,61.787236987818396
"KLP-7,5X7,5","Kassa Lipat Polos 7,5cm x 7,5cm",PAK,370.0,366.66666666666663,226.0252294527638,16.666666666666664,42.62762502834271,41.32653061224489,97.41147679277356
OTRP-S,OTORO LATEX POWDER ''S'',BOX,120.0,150.0,35.36973293768546,19.523809523809522,17.864688427299704,40.925925925925924,86.80652818991098
SCTM,SUCTION CONNECTING TUBE MAS,PCS,900.0,966.6666666666666,842.8006545934917,142.85714285714286,156.4979591836735,37.03703703703704,55.836714983465384
367957,"TUBE SST II PLH 13X75, 3.5",BOX,149.0,183.0,35.36973293768546,15.333333333333334,19.120220432386606,32.95906432748539,80.87020459159768
OTO-L,OTORO LATEX FREE POWDER ''L'',BOX,870.0,920.0,1006.2713178294574,61.42857142857143,71.75171650055371,29.858387799564273,40.673012615899076
OTO-M,OTORO LATEX FREE POWDER ''M'',BOX,2212.0,2062.0,1999.5000000000005,84.66666666666666,75.8673469387755,26.2262154337626,24.37584346407026
OTR-S,OTORO LATEX FREE POWDER ''S'',BOX,2560.0,2530.0,1903.2142857142862,80.47619047619048,93.8265306122449,22.407378335949765,22.32039508110935
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",BOX,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",CARTON,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
4330-0004-02,"Blue Tips,VOL.1000μl,Eppendorf/Universal type,PP material BAG",ZIP-LOCK,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
4330-0012-02,"Blue Tips,Gilson/Universal type,VOL.1000μl,graduated at 100/250/500/100μl,PP BAG material",ZIP-LOCK,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
4330-0016-17,"Yellow Tips,VOL.200μl,Eppendorf/Universal type,PP material",BOX,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
4610-1924,"Centrifuge Tube, PP material, conical bottom, Vol.15ml/17x120mm, BLUE printed graduation from 1.5ml to 15ml/graduation interval 0.5ml. Screw cap leakage-proof, GREY color. DNase-free, RNase-free, Non-Pyrogen, Assembled, E.O. sterile, individual flow-pack, 50pcs/box",CARTON,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
ATM-RTA,ALTAMED COVID-19 RAPID TEST KIT ANTIGEN @25 PCS,BOX,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
MASFP-6.5,SURGICAL GLOVE STERILE FREE POWDER 6.5 MAS,PCS,0.0,666.6666666666667,430.31691394658753,95.23809523809526,61.4738448495125,,
MASFP-7,SURGICAL GLOVE STERILE FREE POWDER 7 MAS,PCS,0.0,666.6666666666667,430.31691394658753,95.23809523809526,61.4738448495125,,
MASFP-7.5,SURGICAL GLOVE STERILE FREE POWDER 7.5 MAS,PCS,0.0,666.6666666666667,430.31691394658753,95.23809523809526,61.4738448495125,,
MK09-135,NASAL OXYGEN CANNULA ADULT,PCS,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
PRAZ30,PRAZOTEC INJ 30MG,VIAL,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
PSE,OXA PULSE OXYMETER ANAK,PCS,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
SAU,STRIP ASAM URAT,BOX,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
SHB,STRIP HEMOGOBLIN (HB),BOX,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
SHM-005,SHAMROCK LATEX FREE POWDER ''L'',BOX,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
SHM-006,"SHAMROCK LATEX FREE POWDER ""M""",BOX,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
SHM-007,SHAMROCK LATEX FREE POWDER ''S'',BOX,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
URS-10T,URINE STRIP 10U,BTL,0.0,0.0,35.36973293768546,0.0,5.052818991097923,,
